Datetime;Object;Value
2021-06-02 00:00:00;50889;799,128
2021-06-03 00:00:00;50889;846,312
2021-06-04 00:00:00;50889;-3387,48
2021-06-05 00:00:00;50889;799,573
2021-06-06 00:00:00;50889;-36,201
2021-06-07 00:00:00;50889;-892,762
2021-06-08 00:00:00;50889;-272,021
2021-06-09 00:00:00;50889;1023,643
2021-06-10 00:00:00;50889;428,921
2021-06-11 00:00:00;50889;-1156,319
2021-06-12 00:00:00;50889;1345,172
2021-06-13 00:00:00;50889;-531,897
2021-06-14 00:00:00;50889;-593,319
2021-06-15 00:00:00;50889;-4,661
2021-06-16 00:00:00;50889;-5094,567
2021-06-17 00:00:00;50889;7229,061
2021-06-18 00:00:00;50889;80,069
2021-06-19 00:00:00;50889;-199,184
2021-06-20 00:00:00;50889;-1133,323
2021-06-21 00:00:00;50889;1801,892
2021-06-22 00:00:00;50889;132,069
2021-06-23 00:00:00;50889;-565,332
2021-06-24 00:00:00;50889;1055,601
2021-06-25 00:00:00;50889;-1800,298
2021-06-26 00:00:00;50889;-529,426
2021-06-27 00:00:00;50889;-164,132
2021-06-28 00:00:00;50889;1407,606
2021-06-29 00:00:00;50889;-2396,625
2021-06-30 00:00:00;50889;-217,235
2021-07-01 00:00:00;50889;-307,097
2021-07-02 00:00:00;50889;-26,989
2021-07-03 00:00:00;50889;-407,823
2021-07-04 00:00:00;50889;-137,003
2021-07-05 00:00:00;50889;-913,569
2021-07-06 00:00:00;50889;-1578,563
2021-07-07 00:00:00;50889;-164,221
2021-07-08 00:00:00;50889;-825,099
2021-07-09 00:00:00;50889;-1968,673
2021-07-10 00:00:00;50889;-663,7
2021-07-11 00:00:00;50889;-965,3
2021-07-12 00:00:00;50889;262,592
2021-07-13 00:00:00;50889;-2227,611
2021-07-14 00:00:00;50889;-25,678
2021-07-15 00:00:00;50889;328,887
2021-07-16 00:00:00;50889;-1365,665
2021-07-17 00:00:00;50889;-745,218
2021-07-18 00:00:00;50889;-727,075
2021-07-19 00:00:00;50889;219,061
2021-07-20 00:00:00;50889;-196,869
2021-07-21 00:00:00;50889;-1345,497
2021-07-22 00:00:00;50889;108,16
2021-07-23 00:00:00;50889;-783,185
2021-07-24 00:00:00;50889;-716,949
2021-07-25 00:00:00;50889;-811,413
2021-07-26 00:00:00;50889;-181,319
2021-07-27 00:00:00;50889;-1101,137
2021-07-28 00:00:00;50889;-199,698
2021-07-29 00:00:00;50889;-581,05
2021-07-30 00:00:00;50889;223,668
2021-07-31 00:00:00;50889;-972,39
2021-08-01 00:00:00;50889;-2346,624
2021-08-02 00:00:00;50889;-365,551
2021-08-03 00:00:00;50889;-625,049
2021-08-04 00:00:00;50889;-1342,874
2021-08-05 00:00:00;50889;2281,848
2021-08-06 00:00:00;50889;1031,037
2021-08-07 00:00:00;50889;-213,657
2021-08-08 00:00:00;50889;0,7
2021-08-09 00:00:00;50889;-722,459
2021-08-10 00:00:00;50889;-3239,158
2021-08-11 00:00:00;50889;-442,02
2021-08-12 00:00:00;50889;-1336,035
2021-08-13 00:00:00;50889;-284,636
2021-08-14 00:00:00;50889;-247,398
2021-08-15 00:00:00;50889;43,602
2021-08-16 00:00:00;50889;-340,303
2021-08-17 00:00:00;50889;525,63
2021-08-18 00:00:00;50889;-1728,059
2021-08-19 00:00:00;50889;-1836,503
2021-08-20 00:00:00;50889;-257,464
2021-08-21 00:00:00;50889;-176,409
2021-08-22 00:00:00;50889;-2145,338
2021-08-23 00:00:00;50889;26,302
2021-08-24 00:00:00;50889;2649,529
2021-08-25 00:00:00;50889;-1813,186
2021-08-26 00:00:00;50889;-369,979
2021-08-27 00:00:00;50889;-183,215
2021-08-28 00:00:00;50889;-1148,115
2021-08-29 00:00:00;50889;307,233
2021-08-30 00:00:00;50889;-1049,612
2021-08-31 00:00:00;50889;-953,167
2021-09-01 00:00:00;50889;-1330,144
2021-09-02 00:00:00;50889;-1231,068
2021-09-03 00:00:00;50889;-151,783
2021-09-04 00:00:00;50889;-16,951
2021-09-05 00:00:00;50889;-663,516
2021-09-06 00:00:00;50889;161,719
2021-09-07 00:00:00;50889;497,45
2021-09-08 00:00:00;50889;-2685,702
2021-09-09 00:00:00;50889;-982,895
2021-09-10 00:00:00;50889;2173,731
2021-09-11 00:00:00;50889;-957,084
2021-09-12 00:00:00;50889;-852,31
2021-09-13 00:00:00;50889;-752,865
2021-09-14 00:00:00;50889;-913,848
2021-09-15 00:00:00;50889;-853,298
2021-09-16 00:00:00;50889;113,289
2021-09-17 00:00:00;50889;-1027,45
2021-09-18 00:00:00;50889;-1163,26
2021-09-19 00:00:00;50889;900,508
2021-09-20 00:00:00;50889;-2533,519
2021-09-21 00:00:00;50889;-2747,634
2021-09-22 00:00:00;50889;2027,598
2021-09-23 00:00:00;50889;-2125,031
2021-09-24 00:00:00;50889;-2671,607
2021-09-25 00:00:00;50889;375,985
2021-09-26 00:00:00;50889;-1200,108
2021-09-27 00:00:00;50889;-289,841
2021-09-28 00:00:00;50889;-916,372
2021-09-29 00:00:00;50889;-700,394
2021-09-30 00:00:00;50889;365,093
2021-10-01 00:00:00;50889;-1187,792
2021-10-02 00:00:00;50889;374,315
2021-10-03 00:00:00;50889;-31,994
2021-10-04 00:00:00;50889;-2257,579
2021-10-05 00:00:00;50889;-163,903
2021-10-06 00:00:00;50889;881,488
2021-10-07 00:00:00;50889;-1755,724
2021-10-08 00:00:00;50889;533,893
2021-10-09 00:00:00;50889;-101,01
2021-10-10 00:00:00;50889;-1202,873
2021-10-11 00:00:00;50889;-83,5
2021-10-12 00:00:00;50889;-724,627
2021-10-13 00:00:00;50889;-871,609
2021-10-14 00:00:00;50889;-989,051
2021-10-15 00:00:00;50889;-190,443
2021-10-16 00:00:00;50889;-807,805
2021-10-17 00:00:00;50889;-639,584
2021-10-18 00:00:00;50889;-1029,143
2021-10-19 00:00:00;50889;272,676
2021-10-20 00:00:00;50889;-846,259
2021-10-21 00:00:00;50889;-784,498
2021-10-22 00:00:00;50889;151,808
2021-10-23 00:00:00;50889;-1284,528
2021-10-24 00:00:00;50889;-582,962
2021-10-25 00:00:00;50889;1,223
2021-10-26 00:00:00;50889;-1107,96
2021-10-27 00:00:00;50889;-744,048
2021-10-28 00:00:00;50889;-2223,91
2021-10-29 00:00:00;50889;-875,523
2021-10-30 00:00:00;50889;484,342
2021-10-31 00:00:00;50889;129,704
2021-11-01 00:00:00;50889;-911,79
