elem_id;set_dt;remark;mode;limit_press
12755;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
12808;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
12820;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
12843;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
12924;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
30428;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
35166;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
11066;2022-05-31 13:50:00.000;Ремонт по результатам ВТД Выполнен.;0;0.70
10208;2022-06-02 08:56:00.000;Сработка;1;35.30
10355;2022-06-02 08:58:00.000;Сработка;1;41.30
11066;2022-06-02 10:00:00.000;Ограничение РРД снято;0;NULL
10208;2022-06-04 06:27:00.000;Сработка;1;35.30
9557;2022-06-07 10:00:00.000;для расчёта ЗГ;2;NULL
9657;2022-06-07 10:00:00.000;для расчёта ЗГ;2;NULL
9659;2022-06-07 10:00:00.000;для расчёта ЗГ;1;NULL
9663;2022-06-07 10:00:00.000;для расчёта ЗГ;2;NULL
9954;2022-06-09 12:44:00.000;После работ по устр. деф. АО "ИЦА";0;NULL
9868;2022-06-09 12:45:00.000;Под работы АО "ИЦА";1;NULL
9868;2022-06-11 09:41:00.000;Под работы АО "ИЦА";1;NULL
9557;2022-06-11 09:42:00.000;для расчёта ЗГ;0;NULL
9657;2022-06-11 09:42:00.000;для расчёта ЗГ;0;NULL
12013;2022-06-14 12:38:00.000;Ограничение РРД;2;69.80
14905;2022-06-14 12:41:00.000;Сработка;2;NULL
11334;2022-06-14 12:46:00.000;Сработка;2;NULL
11882;2022-06-14 12:46:00.000;Ограничение РРД;2;64.40
11883;2022-06-14 12:46:00.000;Ограничение РРД;2;64.40
12013;2022-06-14 13:41:00.000;Ограничение РРД;2;69.80
1513;2022-06-14 13:42:00.000;Сработка;2;64.40
11334;2022-06-14 13:42:00.000;Сработка;2;NULL
11882;2022-06-14 13:42:00.000;Ограничение РРД;2;64.40
11883;2022-06-14 13:42:00.000;Ограничение РРД;2;64.40
12013;2022-06-14 13:42:00.000;Ограничение РРД;2;69.80
14905;2022-06-14 13:43:00.000;Сработка;2;NULL
11967;2022-06-14 13:44:00.000;К ППР;2;NULL
12494;2022-06-14 14:00:00.000;ППР;2;NULL
12075;2022-06-14 14:01:00.000;Ограничение РРД;2;64.80
12185;2022-06-14 14:01:00.000;Ограничение РРД;2;69.30
12185;2022-06-14 14:02:00.000;Ограничение РРД;2;69.30
9663;2022-06-15 06:46:00.000;для расчёта ЗГ;0;NULL
6030;2022-06-15 14:50:00.000;Ремонт перехода через ж/д на 16,9 км;2;NULL
6592;2022-06-15 14:50:00.000;Ремонт перехода через ж/д на 16,9 км;2;NULL
6599;2022-06-15 14:50:00.000;Ремонт перехода через ж/д на 16,9 км;2;NULL
36274;2022-06-15 14:50:00.000; Ремонт перехода через ж/д на 16,9 км;2;NULL
1513;2022-06-15 15:04:00.000;Сработка;2;64.40
11882;2022-06-15 15:04:00.000;Сработка;2;64.40
11883;2022-06-15 15:04:00.000;Сработка;2;64.40
11967;2022-06-15 15:08:00.000;К ППР;2;NULL
12013;2022-06-15 15:09:00.000;Ограничение РРД;2;69.80
11334;2022-06-15 16:23:00.000;Сработка;2;NULL
12444;2022-06-15 16:25:00.000;Ограничение РРД;2;69.80
14905;2022-06-15 18:49:00.000;Сработка;0;NULL
1513;2022-06-16 17:13:00.000;Стравлен;2;64.40
11882;2022-06-16 17:13:00.000;Стравлен;2;64.40
11883;2022-06-16 17:13:00.000;Стравлен;2;64.40
12740;2022-06-16 17:50:00.000;для расчёта ЗГ;2;NULL
12755;2022-06-16 17:50:00.000;для расчёта ЗГ;2;NULL
12924;2022-06-16 17:50:00.000;для расчёта ЗГ;2;NULL
35166;2022-06-16 17:50:00.000;для расчёта ЗГ;2;NULL
9557;2022-06-16 19:51:00.000;для расчёта ЗГ;2;NULL
9657;2022-06-16 19:51:00.000;для расчёта ЗГ;2;NULL
9663;2022-06-16 19:51:00.000;для расчёта ЗГ;2;NULL
1513;2022-06-16 20:20:00.000;Заполнен;2;64.40
11882;2022-06-16 20:20:00.000;Заполнен;0;64.40
11883;2022-06-16 20:20:00.000;Заполнен;0;64.40
11334;2022-06-16 20:21:00.000;Заполнен;2;NULL
11967;2022-06-16 21:23:00.000;Заполнен до рабочего давления;0;NULL
9868;2022-06-17 10:05:00.000;После работ АО "ИЦА";0;NULL
12013;2022-06-17 11:13:00.000;Ограничение РРД;0;69.80
12444;2022-06-17 11:13:00.000;Ограничение РРД;0;69.80
1513;2022-06-18 11:39:00.000;Заполнен;0;64.40
11882;2022-06-18 11:39:00.000;Заполнен;0;64.40
11883;2022-06-18 11:39:00.000;Заполнен;0;64.40
11334;2022-06-18 11:40:00.000;Заполнен;0;NULL
12494;2022-06-18 22:20:00.000;ППР;0;NULL
1513;2022-06-21 12:35:00.000;по режиму;2;64.40
11882;2022-06-21 12:35:00.000;по режиму;2;64.40
11883;2022-06-21 12:35:00.000;по режиму;2;64.40
11334;2022-06-21 12:36:00.000;по режиму;2;NULL
11899;2022-06-21 12:36:00.000;по режиму;2;NULL
12075;2022-06-21 13:22:00.000;ППР 3;1;64.80
12185;2022-06-21 13:22:00.000;ППР 3;1;69.30
12075;2022-06-22 09:37:00.000;ППР 3;1;64.80
18394;2022-06-22 12:20:00.000;На сработке.;1;NULL
18394;2022-06-22 12:26:00.000;На сработке.;1;NULL
