Object;DateTime;Pin;Pout
9010;2021-01-01 00:00:00;47,3;47,3
9010;2021-01-01 02:00:00;47,4;47,4
9010;2021-01-01 04:00:00;47,4;47,4
9010;2021-01-01 06:00:00;47,5;47,5
9010;2021-01-01 08:00:00;47,4;47,4
9010;2021-01-01 10:00:00;47,4;47,4
9010;2021-01-01 12:00:00;47,3;47,3
9010;2021-01-01 14:00:00;47,2;47,2
9010;2021-01-01 16:00:00;47,4;47,4
9010;2021-01-01 18:00:00;47,5;47,5
9010;2021-01-01 20:00:00;48;48
9010;2021-01-01 22:00:00;48,2;48,2
9010;2021-01-02 00:00:00;48,2;48,2
9010;2021-01-02 02:00:00;48,3;48,3
9010;2021-01-02 04:00:00;48,3;48,3
9010;2021-01-02 06:00:00;48,4;48,4
9010;2021-01-02 08:00:00;48,7;48,7
9010;2021-01-02 10:00:00;48,7;48,7
9010;2021-01-02 12:00:00;48,7;48,7
9010;2021-01-02 14:00:00;48,7;48,7
9010;2021-01-02 16:00:00;49,3;49,3
9010;2021-01-02 18:00:00;49,4;49,4
9010;2021-01-02 20:00:00;48,7;48,7
9010;2021-01-02 22:00:00;48,4;48,4
9010;2021-01-03 00:00:00;48,5;48,5
9010;2021-01-03 02:00:00;48,6;48,6
9010;2021-01-03 04:00:00;48,8;48,8
9010;2021-01-03 06:00:00;48,8;48,8
9010;2021-01-03 08:00:00;49,3;49,3
9010;2021-01-03 10:00:00;49,4;49,4
9010;2021-01-03 12:00:00;49,4;49,4
9010;2021-01-03 14:00:00;49,5;49,5
9010;2021-01-03 16:00:00;49,5;49,5
9010;2021-01-03 18:00:00;49,5;49,5
9010;2021-01-03 20:00:00;49,7;49,7
9010;2021-01-03 22:00:00;49,8;49,8
9010;2021-01-04 00:00:00;49,9;49,9
9010;2021-01-04 02:00:00;49,9;49,9
9010;2021-01-04 04:00:00;49,8;49,8
9010;2021-01-04 06:00:00;49,8;49,8
9010;2021-01-04 08:00:00;49,7;49,7
9010;2021-01-04 10:00:00;49,7;49,7
9010;2021-01-04 12:00:00;49,8;49,8
9010;2021-01-04 14:00:00;49,8;49,8
9010;2021-01-04 16:00:00;49,7;49,7
9010;2021-01-04 18:00:00;49,7;49,7
9010;2021-01-04 20:00:00;49,6;49,6
9010;2021-01-04 22:00:00;49,5;49,5
9010;2021-01-05 00:00:00;49,5;49,5
9010;2021-01-05 02:00:00;49,6;49,6
9010;2021-01-05 04:00:00;49,7;49,7
9010;2021-01-05 06:00:00;49,7;49,7
9010;2021-01-05 08:00:00;49,6;49,6
9010;2021-01-05 10:00:00;49,9;49,9
9010;2021-01-05 12:00:00;49,9;49,9
9010;2021-01-05 14:00:00;49,9;49,9
9010;2021-01-05 16:00:00;49,8;49,8
9010;2021-01-05 18:00:00;49,7;49,7
9010;2021-01-05 20:00:00;49,8;49,8
9010;2021-01-05 22:00:00;49,6;49,6
9010;2021-01-06 00:00:00;49,6;49,6
9010;2021-01-06 02:00:00;49,5;49,5
9010;2021-01-06 04:00:00;49,5;49,5
9010;2021-01-06 06:00:00;49,5;49,5
9010;2021-01-06 08:00:00;49,6;49,6
9010;2021-01-06 10:00:00;49,5;49,5
9010;2021-01-06 12:00:00;49,5;49,5
9010;2021-01-06 14:00:00;49,2;49,2
9010;2021-01-06 16:00:00;49,1;49,1
9010;2021-01-06 18:00:00;48,9;48,9
9010;2021-01-06 20:00:00;48,6;48,6
